Status,Content type,vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
200,application/json;charset=utf-8,8032,20201113 04:18:44,41.77998734,-87.66413879,357,9370,9,Irving Park,7679,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 04:23:50,41.7999073,-87.6646431,359,9370,9,Irving Park,14953,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 04:28:48,41.81758544,-87.66494751,359,9370,9,Irving Park,21444,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 04:33:22,41.83768749,-87.66561201,357,9370,9,Irving Park,28776,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 04:38:45,41.84285938,-87.66574097,359,9370,9,Irving Park,31290,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 04:43:48,41.85835743,-87.66608429,356,9370,9,Irving Park,37027,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 04:48:46,41.87420797,-87.6665301,356,9370,9,Irving Park,42892,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 04:53:52,41.88723105,-87.66688538,359,9370,9,Irving Park,47659,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 04:58:43,41.90685806,-87.66751099,359,9370,9,Irving Park,54788,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 05:03:36,41.92410723,-87.66802088,3,9370,9,Irving Park,61143,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 05:08:19,41.94057684,-87.66859951,0,9370,9,Irving Park,67187,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 05:13:38,41.954988,-87.66257153,333,9370,9,Irving Park,74251,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 05:18:28,41.95531464,-87.66278458,335,9370,9,Irving Park,74383,0,10001640,9 -605,
200,application/json;charset=utf-8,8032,20201113 05:23:29,41.95531464,-87.66278458,335,9370,9,Irving Park,74383,1,10001640,9 -605,
